From	To
Q9NYR9	NKIRAS2
Q9NYQ6	CELSR1
Q9NYP9	MIS18A
Q9NYL9	TMOD3
Q9NYK5	MRPL39
Q9NYJ1	COA4
Q9NYF8	BCLAF1
Q9NYB9	ABI2
Q9NYB0	TERF2IP
Q9NY65	TUBA8
Q9NY33	DPP3
Q9NY27	PPP4R2
Q9NY12	GAR1
Q9NXX6	NSMCE4A
Q9NXW9	ALKBH4
Q9NXV2	KCTD5
Q9NXR7	BABAM2
Q9NXR1	NDE1
Q9NXJ5	PGPEP1
Q9NXH9	TRMT1
Q9NXG2	THUMPD1
Q9NXF1	TEX10
Q9NX74	DUS2
Q9NX58	LYAR
Q9NX55	HYPK
Q9NX46	ADPRHL2
Q9NX24	NHP2
Q9NX08	COMMD8
Q9NX01	TXNL4B
Q9NWZ8	GEMIN8
Q9NWY4	HPF1
Q9NWX5	ASB6
Q9NWV8	BABAM1
Q9NWV4	CZIB
Q9NWU2	GID8
Q9NWU1	OXSM
Q9NWT6	HIF1AN
Q9NWS0	PIH1D1
Q9NWQ4	GPATCH2L
Q9NWM8	FKBP14
Q9NWL6	ASNSD1
Q9NWH9	SLTM
Q9NWA0	MED9
Q9NW82	WDR70
Q9NW68	BSDC1
Q9NW64	RBM22
Q9NW13	RBM28
Q9NW08	POLR3B
Q9NVZ3	NECAP2
Q9NVX2	NLE1
Q9NVX0	HAUS2
Q9NVU7	SDAD1
Q9NVU0	POLR3E
Q9NVT9	ARMC1
Q9NVS9	PNPO
Q9NVQ4	FAIM
Q9NVP2	ASF1B
Q9NVP1	DDX18
Q9NVN8	GNL3L
Q9NVN3	RIC8B
Q9NVM9	INTS13
Q9NVM6	DNAJC17
Q9NVJ2	ARL8B
Q9NVI1	FANCI
Q9NVH6	TMLHE
Q9NVH2	INTS7
Q9NVH0	EXD2
Q9NVG8	TBC1D13
Q9NVF7	FBXO28
Q9NVE7	PANK4
Q9NVD7	PARVA
Q9NVD3	SETD4
Q9NVC6	MED17
Q9NVA2	SEPTIN11
Q9NV88	INTS9
Q9NV72	ZNF701
Q9NV70	EXOC1
Q9NV56	MRGBP
Q9NV35	NUDT15
Q9NV06	DCAF13
Q9NUY8	TBC1D23
Q9NUW8	TDP1
Q9NUU7	DDX19A
Q9NUQ9	FAM49B
Q9NUQ8	ABCF3
Q9NUQ3	TXLNG
Q9NUP9	LIN7C
Q9NUP1	BLOC1S4
Q9NUJ3	TCP11L1
Q9NUJ1	ABHD10
Q9NUG6	PDRG1
Q9NUD5	ZCCHC3
Q9NU39	FOXD4L1
Q9NU22	MDN1
Q9NU19	TBC1D22B
Q9NTZ6	RBM12
Q9NTX5	ECHDC1
Q9NTM9	CUTC
Q9NTK5	OLA1
Q9NTJ3	SMC4
Q9NT62	ATG3
Q9NSV4	DIAPH3
Q9NSU2	TREX1
Q9NSK0	KLC4
Q9NSE4	IARS2
Q9NSD9	FARSB
Q9NS86	LANCL2
Q9NS84	CHST7
Q9NS69	TOMM22
Q9NS66	GPR173
Q9NS23	RASSF1
Q9NS18	GLRX2
Q9NRZ9	HELLS
Q9NRY5	FAM114A2
Q9NRY4	ARHGAP35
Q9NRY2	INIP
Q9NRX4	PHPT1
Q9NRX1	PNO1
Q9NRW3	APOBEC3C
Q9NRW1	RAB6B
Q9NRV9	HEBP1
Q9NRR5	UBQLN4
Q9NRP4	SDHAF3
Q9NRN7	AASDHPPT
Q9NRL3	STRN4
Q9NRH3	TUBG2
Q9NRG7	SDR39U1
Q9NRG1	PRTFDC1
Q9NRG0	CHRAC1
Q9NRF9	POLE3
Q9NRF8	CTPS2
Q9NRA8	EIF4ENIF1
Q9NR99	MXRA5
Q9NR56	MBNL1
Q9NR50	EIF2B3
Q9NR46	SH3GLB2
Q9NR45	NANS
Q9NR33	POLE4
Q9NR31	SAR1A
Q9NR30	DDX21
Q9NR28	DIABLO
Q9NR09	BIRC6
Q9NQZ5	STARD7
Q9NQZ2	UTP3
Q9NQX7	ITM2C
Q9NQX3	GPHN
Q9NQW7	XPNPEP1
Q9NQW6	ANLN
Q9NQT8	KIF13B
Q9NQT5	EXOSC3
Q9NQT4	EXOSC5
Q9NQR4	NIT2
Q9NQP4	PFDN4
Q9NQH7	XPNPEP3
Q9NQG7	HPS4
Q9NQG5	RPRD1B
Q9NQC3	RTN4
Q9NQ88	TIGAR
Q9NQ60	EQTN
Q9NQ55	PPAN
Q9NQ50	MRPL40
Q9NQ48	LZTFL1
Q9NQ29	LUC7L
Q9NPQ8	RIC8A
Q9NPJ6	MED4
Q9NPJ3	ACOT13
Q9NPI6	DCP1A
Q9NPH2	ISYNA1
Q9NPH0	ACP6
Q9NPF4	OSGEP
Q9NPE3	NOP10
Q9NPD8	UBE2T
Q9NPD3	EXOSC4
Q9NPC6	MYOZ2
Q9NPB8	GPCPD1
Q9NPA8	ENY2
Q9NP97	DYNLRB1
Q9NP92	MRPS30
Q9NP81	SARS2
Q9NP79	VTA1
Q9NP77	SSU72
Q9NP66	HMG20A
Q9NP61	ARFGAP3
Q9NNW7	TXNRD2
Q9HD47	RANGRF
Q9HD42	CHMP1A
Q9HD34	LYRM4
Q9HD33	MRPL47
Q9HD26	GOPC
Q9HD15	SRA1
Q9HCX3	ZNF304
Q9HCS7	XAB2
Q9HCN8	SDF2L1
Q9HCN4	GPN1
Q9HCM7	FBRSL1
Q9HCM4	EPB41L5
Q9HCM2	PLXNA4
Q9HCG8	CWC22
Q9HCE5	METTL14
Q9HCE1	MOV10
Q9HCD5	NCOA5
Q9HCC0	MCCC2
Q9HC38	GLOD4
Q9HC36	MRM3
Q9HC35	EML4
Q9HC21	SLC25A19
Q9HBY0	NOX3
Q9HBU6	ETNK1
Q9HBR0	SLC38A10
Q9HBM6	TAF9B
Q9HBM1	SPC25
Q9HBJ7	USP29
Q9HBI1	PARVB
Q9HB71	CACYBP
Q9HB40	SCPEP1
Q9HB07	C12orf10
Q9HAV7	GRPEL1
Q9HAV4	XPO5
Q9HAU5	UPF2
Q9HAU4	SMURF2
Q9HAS0	C17orf75
Q9HAD4	WDR41
Q9HA77	CARS2
Q9HA64	FN3KRP
Q9HA47	UCK1
Q9H9Y4	GPN2
Q9H9V9	JMJD4
Q9H9T3	ELP3
Q9H9Q2	COPS7B
Q9H9P8	L2HGDH
Q9H9J2	MRPL44
Q9H9H4	VPS37B
Q9H9E3	COG4
Q9H9C1	VIPAS39
Q9H9A6	LRRC40
Q9H9A5	CNOT10
Q9H999	PANK3
Q9H993	ARMT1
Q9H981	ACTR8
Q9H977	WDR54
Q9H974	QTRT2
Q9H944	MED20
Q9H910	JPT2
Q9H903	MTHFD2L
Q9H900	ZWILCH
Q9H8Y8	GORASP2
Q9H8V3	ECT2
Q9H8S9	MOB1A
Q9H8M7	MINDY3
Q9H8K7	C10orf88
Q9H8H0	NOL11
Q9H8G2	CAAP1
Q9H892	TTC12
Q9H875	PRKRIP1
Q9H871	RMND5A
Q9H857	NT5DC2
Q9H845	ACAD9
Q9H840	GEMIN7
Q9H832	UBE2Z
Q9H814	PHAX
Q9H7Z7	PTGES2
Q9H7Z6	KAT8
Q9H7Z3	NRDE2
Q9H7S9	ZNF703
Q9H7R0	ZNF442
Q9H7E9	C8orf33
Q9H7E2	TDRD3
Q9H7D7	WDR26
Q9H7C9	AAMDC
Q9H7B2	RPF2
Q9H773	DCTPP1
Q9H706	GAREM1
Q9H6Z9	EGLN3
Q9H6Z4	RANBP3
Q9H6Y2	WDR55
Q9H6T3	RPAP3
Q9H6T0	ESRP2
Q9H6S0	YTHDC2
Q9H6R3	ACSS3
Q9H6F5	CCDC86
Q9H6E4	CCDC134
Q9H6D7	HAUS4
Q9H5V9	CXorf56
Q9H5H4	ZNF768
Q9H583	HEATR1
Q9H501	ESF1
Q9H4M9	EHD1
Q9H4L7	SMARCAD1
Q9H4L4	SENP3
Q9H4H8	FAM83D
Q9H4D0	CLSTN2
Q9H4B0	OSGEPL1
Q9H4A6	GOLPH3
Q9H4A5	GOLPH3L
Q9H4A4	RNPEP
Q9H4A3	WNK1
Q9H488	POFUT1
Q9H477	RBKS
Q9H467	CUEDC2
Q9H461	FZD8
Q9H446	RWDD1
Q9H444	CHMP4B
Q9H425	C1orf198
Q9H410	DSN1
Q9H3U1	UNC45A
Q9H3S7	PTPN23
Q9H3P7	ACBD3
Q9H3P2	NELFA
Q9H3K6	BOLA2
Q9H3K6	BOLA2B
Q9H3K2	GHITM
Q9H3H3	C11orf68
Q9H3H1	TRIT1
Q9H3G5	CPVL
Q9H307	PNN
Q9H2W6	MRPL46
Q9H2U9	ADAM7
Q9H2U2	PPA2
Q9H2U1	DHX36
Q9H2P9	DPH5
Q9H2P0	ADNP
Q9H2M9	RAB3GAP2
Q9H2J4	PDCL3
Q9H2H8	PPIL3
Q9H2G9	BLZF1
Q9H2G2	SLK
Q9H2C0	GAN
Q9H2A2	ALDH8A1
Q9H299	SH3BGRL3
Q9H269	VPS16
Q9H267	VPS33B
Q9H254	SPTBN4
Q9H223	EHD4
Q9H1Z4	WDR13
Q9H1Y0	ATG5
Q9H1P6	C20orf85
Q9H1P3	OSBPL2
Q9H1K1	ISCU
Q9H1I8	ASCC2
Q9H1E3	NUCKS1
Q9H1D9	POLR3F
Q9H1B7	IRF2BPL
Q9H1A4	ANAPC1
Q9H173	SIL1
Q9H160	ING2
Q9H115	NAPB
Q9H0W9	C11orf54
Q9H0W7	THAP2
Q9H0U9	TSPYL1
Q9H0U4	RAB1B
Q9H0S4	DDX47
Q9H0R6	QRSL1
Q9H0R5	GBP3
Q9H0R4	HDHD2
Q9H0P0	NT5C3A
Q9H0L4	CSTF2T
Q9H0E9	BRD8
Q9H0E2	TOLLIP
Q9H0D6	XRN2
Q9H0C8	ILKAP
Q9H0B6	KLC2
Q9H0A8	COMMD4
Q9H0A0	NAT10
Q9H098	FAM107B
Q9H081	MIS12
Q9H074	PAIP1
Q9H019	MTFR1L
Q9H008	LHPP
Q9GZZ9	UBA5
Q9GZZ1	NAA50
Q9GZU8	FAM192A
Q9GZT9	EGLN1
Q9GZT8	NIF3L1
Q9GZT4	SRR
Q9GZT3	SLIRP
Q9GZS3	WDR61
Q9GZR1	SENP6
Q9GZQ8	MAP1LC3B
Q9GZP4	PITHD1
Q9GZN8	C20orf27
Q9GZN1	ACTR6
Q9GZM8	NDEL1
Q9GZM3	POLR2J2
Q9GZL7	WDR12
Q9C0J8	WDR33
Q9C0I1	MTMR12
